ref,categorie,title,price,tags,description,image
 B8301421,earrings,Love single earring,500.0,yellow gold,"Love single earring, 18K yellow gold. Diameter 6 mm. Sold individually.",/content/dam/rcq/car/19/35/83/4/1935834.png
 B3153111,necklaces,Cross pendant,570.0,yellow gold,"Cross pendant, 18K yellow gold",/content/dam/rcq/car/10/99/78/9/1099789.png
 B3153113,necklaces,Hand of Fatima pendant,570.0,yellow gold,"Hand of Fatima pendant, 18K yellow gold",/content/dam/rcq/car/10/99/79/1/1099791.png
 B3153112,necklaces,Star pendant,570.0,yellow gold,"Star pendant, 18K yellow gold",/content/dam/rcq/car/10/99/79/0/1099790.png
 B7060700,necklaces,Chain necklace,570.0,yellow gold,"Chain necklace, 18K yellow gold.",/content/dam/rcq/car/13/65/86/6/1365866.png
 B6016700,bracelets,Trinity bracelet,580.0,"white gold, yellow gold, pink gold","Trinity bracelet, 18K white gold, 18K rose gold, 18K yellow gold. Comes on a cord. Width: 2 mm. Inner diameter: 10.7mm",/content/dam/rcq/car/10/57/41/2/1057412.png
 B6046200,bracelets,Trinity bracelet,580.0,"white gold, ceramic","Trinity bracelet, 18K white gold, black ceramic. Width: 2 mm. Inner diameter 10.7mm.",/content/dam/rcq/car/91/73/88/917388.png
 B7060800,necklaces,Chain necklace,610.0,white gold,"Chain necklace, 18K white gold.",/content/dam/rcq/car/13/65/86/8/1365868.png
 B4088100,rings,1895 wedding band,690.0,pink gold,"1895 wedding band, width 2.5 mm, 18K pink gold.",/content/dam/rcq/car/92/55/78/925578.png
 B4002300,rings,1895 wedding band,690.0,yellow gold,"1895 wedding band, width 2.5 mm, 18K yellow gold.",/content/dam/rcq/car/92/55/42/925542.png
